sample	cohort
GB-WES-01	test
GB-WES-02	test
GB-WES-03	test
GB-WES-04	test
GB-WES-05	test
GB-WES-06	test
GB-WES-07	test
GB-WES-08	test
GB-WGS-01	test
GB-WGS-02	test
GB-WGS-03	test
GB-WGS-04	test
GB-WGS-05	test
GB-WGS-06	test
GB-WGS-07	test
GB-WGS-08	test
GB-WGS-09	test
GB-WGS-10	test
GB-WGS-11	test
GB-WGS-12	test
GB-WGS-13	test
GB-WGS-14	test
GB-WGS-15	test
GB-WGS-16	test
GB-WGS-17	test
GB-WGS-18	test
GB-WGS-19	test
GB-WGS-20	test
GB-WGS-21	test
GB-WGS-22	test
GB-WGS-23	test
GB-WGS-24	test
GB-WGS-25	test
GB-WGS-26	test
GB-WGS-27	test
GB-WGS-28	test
GB-WGS-29	test
GB-WGS-30	test
GB-WGS-31	test
GB-WGS-32	test
GB-WGS-33	test
GB-WGS-34	test
GB-WGS-35	test
GB-WGS-36	test
GB-WGS-37	test
GB-WGS-38	test
GB-WGS-40	mlpa
GB-WGS-41	mlpa
GB-WGS-42	mlpa
GB-WGS-43	mlpa
GB-WGS-44	mlpa
GB-WGS-45	mlpa
GB-WES-46	mlpa
GB-WES-47	mlpa
GB-WES-48	mlpa
GB-WES-49	mlpa
GB-WES-50	mlpa
GB-WES-51	mlpa
GB-WGS-NA12878	reference
GB-WES-NA12878	reference
